Loại khách,Mã khách hàng,Tên khách hàng,Điện thoại,Địa chỉ,Khu vực giao hàng,Phường/Xã,Công ty,Mã số thuế,Số CMND/CCCD,Ngày sinh,Giới tính,Email,Facebook,Nhóm khách hàng,Ghi chú,Ngày giao dịch cuối,Nợ cần thu hiện tại,Tổng bán (Không import),Trạng thái
Cá nhân,sdv-id-UQLkBY,Denise Moore,433-575-4270,"81 Bùi Làng
JohnHuyện, 113315",Hà Nội - Quận Tây Hồ,Phường Thụy Khuê,,3242342,,1950-05-04,Nam,edwardsrenee@example.org,https://facebook.com,Nhóm1|Nhóm2,Ghi chú,2017-01-10,100000,0,1
Cá nhân,sdv-id-LgZLeU,Robert Chen,(364)308-5435x72223,"14 Vũ Khu
Huyện JohnThành phố, 569080",Hà Nội - Quận Long Biên,Phường Thụy Khuê,,3242342,,1950-05-04,Nam,david67@example.com,https://facebook.com,Nhóm1|Nhóm2,Ghi chú,2017-01-10,100000,0,1
Cá nhân,sdv-id-DaQllv,Darrell Callahan,917-442-9462,"9 John Hẻm
Huyện JaneXã, 117362",Hà Nội - Quận Hoàn Kiếm,Phường Thụy Khuê,,3242342,,1950-05-04,Nam,elyons@example.org,https://facebook.com,Nhóm1|Nhóm2,Ghi chú,2017-01-10,100000,0,1
Cá nhân,sdv-id-RIkFri,Jason Becker,364.211.0030x98449,"15 Jane Số
JanePhường, 686126",Hà Nội - Quận Long Biên,Phường Thụy Khuê,,3242342,,1950-05-04,Nam,gmurphy@example.org,https://facebook.com,Nhóm1|Nhóm2,Ghi chú,2017-01-10,100000,0,1
Cá nhân,sdv-id-mtNKiH,Jimmy Chavez,971-589-0605x974,"11 John Tổ
Thị xã JohnPhường, 745293",Hà Nội - Quận Ba Đình,Phường Thụy Khuê,,3242342,,1950-05-04,Nam,dawngonzalez@example.net,https://facebook.com,Nhóm1|Nhóm2,Ghi chú,2017-01-10,100000,0,1
Cá nhân,sdv-id-RhKhOl,Christina Butler,(598)362-3998x570,"2 Trần Khu
Quận JohnHuyện, 233969",Hà Nội - Quận Hoàn Kiếm,Phường Thụy Khuê,,3242342,,1950-05-04,Nam,adam93@example.com,https://facebook.com,Nhóm1|Nhóm2,Ghi chú,2017-01-10,100000,0,1
Cá nhân,sdv-id-gHzMHJ,Kevin Baker,413.526.0446x82412,"692 Vũ Tổ
JohnThị xã, 461623",Hà Nội - Quận Nam Từ Liêm,Phường Thụy Khuê,,3242342,,1950-05-04,Nam,swansondonna@example.org,https://facebook.com,Nhóm1|Nhóm2,Ghi chú,2017-01-10,100000,0,1
Cá nhân,sdv-id-hegSMu,Shawn Rose,+1-311-770-5691,"631 Jane Tổ
JanePhường, 377849",Hà Nội - Quận Long Biên,Phường Thụy Khuê,,3242342,,1950-05-04,Nam,tinawright@example.net,https://facebook.com,Nhóm1|Nhóm2,Ghi chú,2017-01-10,100000,0,1
Cá nhân,sdv-id-UPWYUw,Bruce Garcia,996-874-7229,"2 Hoàng Hẻm
Huyện JohnThành phố, 436652",Hà Nội - Quận Hoàn Kiếm,Phường Thụy Khuê,,3242342,,1950-05-04,Nam,hsmith@example.com,https://facebook.com,Nhóm1|Nhóm2,Ghi chú,2017-01-10,100000,0,1
Cá nhân,sdv-id-IoAGpk,Scott Ramos,872-211-7151x873,"553 Hoàng Ngõ
JohnPhường, 327936",Hà Nội - Quận Long Biên,Phường Thụy Khuê,,3242342,,1950-05-04,Nam,nburton@example.net,https://facebook.com,Nhóm1|Nhóm2,Ghi chú,2017-01-10,100000,0,1
