Mã đặt hàng,Mã hóa đơn,Mã vận đơn,Địa chỉ lấy hàng,Thời gian,Thời gian tạo,Mã khách hàng,Tên khách hàng,Điện thoại,Địa chỉ (Khách hàng),Khu vực (Khách hàng),Phường/Xã (Khách hàng),Người nhận đặt,Kênh bán,Người tạo,Đối tác giao hàng,Người nhận,Điện thoại (Người nhận),Địa chỉ (Người nhận),Khu vực (Người nhận),Phường/Xã (Người nhận),Dịch vụ,Trọng lượng (gram),Dài,Rộng,Cao,Phí trả ĐTGH (trả ĐT),Ghi chú,Tổng tiền hàng,Giảm giá phiếu đặt,Khách cần trả,Khách đã trả,Tiền mặt,Thẻ,Chuyển khoản,Ví,ĐVT,Điểm,Thời gian giao hàng,Trạng thái,Mã hàng,Mã vạch,Tên hàng,Thương hiệu,Ghi chú hàng hóa,Số lượng,Đơn giá,Giảm giá %,Giảm giá,Giá bán,Thành tiền
DHIP00001,,,,2026-03-01 09:49:00,,sdv-id-buKGIM,Caitlin Underwood,001-683-834-6238x66377,,,,,Facebook,Nicholas Martinez,,,,,,,,,,,,,,209316.0,,209316.0,209316.0,209316.0,,,,,,,Hoàn thành,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,2,19835,,,19835,39670
DHIP00001,,,,2026-03-01 09:49:00,,sdv-id-buKGIM,Caitlin Underwood,001-683-834-6238x66377,,,,,Facebook,Nicholas Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-vJtreC,,Trà Lifebuoy với,,,1,159923,,,159923,159923
DHIP00001,,,,2026-03-01 09:49:00,,sdv-id-buKGIM,Caitlin Underwood,001-683-834-6238x66377,,,,,Zalo,Nicholas Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-XHOdHs,,Dầu Gội Lifebuoy nhiều,,,3,3241,,,3241,9723
DHIP00002,,,,2026-03-01 08:05:00,,sdv-id-JwezvL,Sharon Wilson,320.216.5529x8741,,,,,Facebook,Jennifer Jackson,,,,,,,,,,,,,,483939.0,,483939.0,483939.0,,,483939.0,,,,,Phiếu tạm,sdv-id-jwFAkO,,Dầu Gội Chinsu được,,,1,4170,,,4170,4170
DHIP00002,,,,2026-03-01 08:05:00,,sdv-id-JwezvL,Sharon Wilson,320.216.5529x8741,,,,,Zalo,Jennifer Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-vJtreC,,Trà Lifebuoy với,,,3,159923,,,159923,479769
DHIP00003,,,,2026-03-01 08:25:00,,sdv-id-UPWYUw,Bruce Garcia,996-874-7229,,,,,Facebook,Michael Reeves,,,,,,,,,,,,,,733988.0,,733988.0,733988.0,,,733988.0,,,,,Hoàn thành,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,2,19835,,,19835,39670
DHIP00003,,,,2026-03-01 08:25:00,,sdv-id-UPWYUw,Bruce Garcia,996-874-7229,,,,,Facebook,Michael Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,3,121086,,,121086,363258
DHIP00003,,,,2026-03-01 08:25:00,,sdv-id-UPWYUw,Bruce Garcia,996-874-7229,,,,,Facebook,Michael Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-bwtisO,,Cà Phê Pepsi làm,,,1,11214,,,11214,11214
DHIP00003,,,,2026-03-01 08:25:00,,sdv-id-UPWYUw,Bruce Garcia,996-874-7229,,,,,Zalo,Michael Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-vJtreC,,Trà Lifebuoy với,,,2,159923,,,159923,319846
DHIP00004,,,,2026-03-01 08:50:00,,sdv-id-UlhrrQ,Kevin Williamson,(543)614-9535x9321,,,,,Zalo,Jennifer Jackson,,,,,,,,,,,,,,408536.0,,408536.0,408536.0,,,408536.0,,,,,Hoàn thành,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,1,19835,,,19835,19835
