customer_code,customer_name,phone,address
KH00001,An Vũ,(03) 2181 9600,"9 John Số
Thị xã JaneThành phố, 895667"
KH00002,Quý cô Thành Vũ,(03) 5116 1559,"7 Jane Ngõ
JaneXã, 301629"
KH00003,An Phạm,(04)131-6475,"419 John Hẻm
JaneHuyện, 771088"
KH00004,Bà Ánh Nguyễn,(00) 5641 3953,"7 Jane Hẻm
Huyện JaneXã, 518801"
KH00005,Quang Trí Mai,01 0122691,"4 John Khu
JohnHuyện, 555884"
KH00006,Quý cô An Vũ,+84-28-148932,"8 Jane Dãy
Thành phố JaneHuyện, 351083"
KH00007,Mai Hoàng,+84 17 1822782,"834 Đặng Dãy
JohnQuận, 335612"
KH00008,Thành Nguyễn,+84-83-930103,"18 Jane Dãy
Quận JaneQuận, 922733"
KH00009,Quý ông Trung Trần,+84 65 6670106,"338 Lê Số
Huyện JaneQuận, 179046"
KH00010,Ông Hưng Mai,(00)132-6773,"606 Dương Khu
JaneQuận, 299122"
KH00011,Trung Nguyễn,+84-80-500978,"812 John Làng
JohnXã, 358175"
KH00012,Duyên Trần,09 9854353,"4 Đặng Ngõ
Thị xã JohnThành phố, 663750"
KH00013,Bà Lan Đặng,+84 35 4278498,"1 Jane Ngõ
Quận JaneHuyện, 734210"
KH00014,Bà Mai Vũ,+84-74-016400,"4 Jane Số
Thành phố JohnPhường, 256294"
KH00015,Ánh Đặng,+84-82-620450,"3 Jane Số
Quận JohnQuận, 532322"
KH00016,Lan Đặng,(06)342-1607,"43 John Làng
JaneHuyện, 172792"
KH00017,Quang Mai,08 5014294,"56 Jane Làng
JohnPhường, 557239"
KH00018,Vân Mai,+84-35-615 9514,"64 John Số
JohnXã, 696750"
KH00019,Thành Mai,(00)443-6995,"3 Lê Ngõ
JaneThành phố, 958179"
KH00020,Bà Mai Phạm,(00) 0379 1769,"63 John Ngõ
JohnQuận, 943170"
KH00021,Ông Tùng Phạm,(01)727-8895,"8 Mai Dãy
Thị xã JaneHuyện, 888295"
KH00022,Bà Vi Mai,03 4714345,"236 John Ngõ
JaneHuyện, 668969"
KH00023,Quý ông Hưng Phạm,(06)690-9670,"68 Jane Làng
JaneThị xã, 130434"
KH00024,Thành Hữu Lê,(07)298-0699,"6 Jane Hẻm
Huyện JaneHuyện, 321941"
KH00025,Bác Dũng Bùi,06 4170 8053,"330 John Hẻm
JohnXã, 328552"
KH00026,Bác Quang Lê,+84-91-241904,"31 John Khu
Thành phố JaneXã, 549186"
KH00027,Vũ Tấn Nguyễn,(06)716-5726,"8 Dương Số
JaneQuận, 971084"
KH00028,Hạnh Dương,(07) 9965 0752,"54 Mai Đường
Thành phố JohnPhường, 526170"
KH00029,Anh Châu Dương,00 1436349,"85 Dương Khu
JaneQuận, 226516"
